CALENDAR_ID,VehicleNumber,MESSAGE_TIME,LONGITUDE,LATITUDE
120210102,16403,60831,-1212497369,379626188
120210102,16404,23378,-1212509775,379617200
120210102,16409,48536,-1212495903,379625557
120210102,18401,23208,-1212497544,379621207
120210102,18405,26144,-1212513050,379613927
120210102,18405,66013,-1212509967,379615965
120210102,18405,66745,-1212513520,379615023
120210103,16407,2241,-1212495327,379626099
120210103,16408,33743,-1212704924,379611802
120210103,16408,33868,-1212707535,379611249
120210103,16408,34107,-1212831333,379569745
120210103,16408,34177,-1212855007,379553300
120210103,16408,34694,-1212899288,379538852
120210103,16408,34824,-1212963772,379498441
120210103,16408,34894,-1212971660,379499791
120210103,16408,35063,-1212972298,379502028
120210103,16408,35133,-1212927682,379532243
120210103,16408,35204,-1212864859,379543859
120210103,16408,36476,-1212866888,379560990
120210103,16408,36862,-1212691849,379612607
120210103,16408,36932,-1212621613,379629487
120210103,16408,37061,-1212485878,379687186
120210103,16408,37162,-1212388390,379689898
120210103,16408,37233,-1212393782,379713720
120210103,16408,37302,-1212465897,379696941
120210103,16408,37377,-1212599293,379640155
120210103,16408,37446,-1212666803,379618970
120210103,16408,37456,-1212677741,379616539
120210103,16408,37556,-1212704710,379612078
120210103,16408,38733,-1212512055,379617249
120210103,16409,84447,-1212511809,379617961
120210103,18401,48877,-1212495813,379620728
120210103,18405,66519,-1212513377,379614983
120210103,18405,82606,-1212513358,379614894
120210104,16402,66042,-1212510211,379616627
120210104,16404,65508,-1212506363,379627526
120210104,16407,7479,-1212510247,379618373
120210104,16407,66686,-1212511884,379616554
120210104,16408,23122,-1212866112,379560738
120210104,16408,23490,-1212623296,379628564
120210104,16408,23742,-1212412432,379715532
120210104,16408,24413,-1212471369,379694222
120210104,16408,24604,-1212667073,379618696
120210104,16408,24752,-1212748523,379584064
120210104,16408,24830,-1212837694,379568666
120210104,16408,24919,-1212855052,379553043
120210104,16408,27061,-1212725272,379587442
120210104,16408,27186,-1212697517,379611404
120210104,16408,27255,-1212666595,379617816
120210104,16408,27325,-1212592111,379641595
120210104,16408,27737,-1212392357,379710162
120210104,16408,27868,-1212492744,379685795
120210104,16408,28465,-1212854768,379553335
120210104,16408,29356,-1212920373,379510349
120210104,16408,29411,-1212975613,379512787
120210104,16408,29601,-1212882431,379540536
120210104,16408,31016,-1212665790,379617891
120210104,16408,31026,-1212616136,379631249
120210104,16408,31209,-1212396382,379687880
120210104,16408,31878,-1212826103,379570558
120210104,16408,32004,-1212852674,379553621
120210104,16408,33027,-1212909583,379536511
120210104,16408,33159,-1212968597,379495766
120210104,16408,33395,-1212880587,379540300
120210104,16408,33468,-1212860583,379548812
120210104,16408,33539,-1212861187,379548568
120210104,16408,34379,-1212862662,379549136
120210104,16408,34509,-1212752439,379582123
120210104,16408,34639,-1212697168,379611400
120210104,16408,34753,-1212658366,379619681
120210104,16408,34823,-1212558578,379655482
120210104,16408,34893,-1212467040,379694643
120210104,16408,35601,-1212666929,379618845
120210104,16408,35611,-1212704803,379611902
120210104,16408,36029,-1212852776,379553681
120210104,16408,36462,-1212852225,379554623
120210104,16408,38522,-1212696038,379611823
120210104,16408,38773,-1212405812,379705024
120210104,16408,38845,-1212387885,379690091
120210104,16408,38975,-1212507222,379679469
120210104,16408,39046,-1212574664,379650440
120210104,16408,39115,-1212611353,379635030
120210104,16408,39125,-1212669275,379618392
120210104,16408,39182,-1212704549,379612076
120210104,16408,39191,-1212720911,379609054
120210104,16408,39506,-1212852310,379566445
120210104,16408,40460,-1212971370,379499798
120210104,16408,40712,-1212850390,379546041
120210104,16408,42142,-1212753638,379581657
120210104,16408,42484,-1212668871,379617277
120210104,16408,42555,-1212539208,379663896
120210104,16409,84252,-1212492638,379624780
120210104,18401,58946,-1212513666,379615285
120210104,18403,14977,-1212493212,379624880
120210104,18405,18546,-1212513416,379614687
120210104,18405,72301,-1212513572,379614822
120210105,1006,67174,-1212853625,379553909
120210105,16401,21568,-1212510314,379618355
120210105,16401,23217,-1213109951,379594742
120210105,16401,33843,-1212866310,379561269
120210105,16401,38056,-1213213205,379878806
120210105,16401,39502,-1213050714,379604456
120210105,16402,85318,-1212511789,379618525
120210105,16403,59671,-1212504058,379622701
120210105,16403,59740,-1212506966,379622803
120210105,16403,59930,-1212509945,379618415
120210105,16404,58550,-1212511638,379616018
120210105,16405,66988,-1212512302,379617594
